,return
TMUS.OQ,0.22335744207698885
DG.N,0.12463351465040567
WAT.N,0.13572890273798585
NKE.N,0.11467058502867722
FSLR.OQ,0.18917690856088368
USB.N,0.07419420892577326
CI.N,0.1628398284752702
TTWO.OQ,0.2566329898897326
LKQ.OQ,0.12059371900730474
AON.N,0.16533047551115837
ITW.N,0.13249673727106753
GD.N,0.13136279007854015
GWW.N,0.16952113240778982
L.N,0.08293574702295133
GEN.OQ,0.12505017172728852
SRE.N,0.10696919084496913
POOL.OQ,0.20629038446251147
BBY.N,0.11888484401682678
WTW.OQ,0.11053613668768009
AME.N,0.16573749584305253
SPG.N,0.09936912412720074
ADP.OQ,0.14705042943628183
FICO.N,0.33457816943620416
EIX.N,0.05351970273163521
EG.N,0.11155166950801618
HIG.N,0.14427741301077748
ZBH.N,0.07927512173438575
GS.N,0.143578672471882
NDAQ.OQ,0.19009637718661626
NEE.N,0.14332864769665637
DAL.N,0.17962401274509762
DVA.N,0.12158264033854685
WEC.N,0.10610966287486447
TROW.OQ,0.07363528401758096
HST.OQ,0.046218727924840525
PGR.N,0.17453858533471112
FRT.N,0.04510447578757162
AES.N,0.06218682012737691
MHK.N,0.12292220512629332
FAST.OQ,0.1531647840436034
COR.N,0.18514507458275192
ROST.OQ,0.19563847480790303
PSA.N,0.09165654166754386
CCL.N,0.08012574419559129
DIS.N,0.10587555254031293
MCHP.OQ,0.14355588710643932
REG.OQ,0.07046572093208985
CNP.N,0.08540458654920613
PAYX.OQ,0.11810413155563851
BFb.N,0.061400096659031525
LMT.N,0.14935489535526522
TEL.N,0.1694175158383207
J.N,0.13646994926309014
D.N,0.03835960937206927
TKO.N,0.2505056304003437
SNA.N,0.1557312536045969
SWK.N,0.053595587828517116
TJX.N,0.1947854663817577
ED.N,0.059407632790845565
EXPE.OQ,0.22818328497132725
GPC.N,0.09632964641857414
NI.N,0.14133417638524393
SYK.N,0.15453995154528483
HON.OQ,0.1264661505369392
ADI.OQ,0.16155141124011518
VLO.N,0.22507237952488918
STX.OQ,0.27354709115066944
PNC.N,0.1124433863305132
